video_id,video_title,published_at,view_count,like_count,comment_count,duration_seconds
kk5zEOQzTmQ,Data Visualization and Presentation in R | R for Data Analytics Series,2025-08-19T12:01:22Z,1860,61,5,1264.0
yhlqKsYpzgE,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-08-18T01:01:35Z,0,8,0,0.0
TP2OJuZhbIQ,Things I Learned as a Data Analyst p1,2025-08-15T11:46:04Z,5823,203,12,38.0
Mi8st3hyMH8,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-08-14T14:18:24Z,2777,109,8,3967.0
vAKs1-EEJ38,How to Remove Duplicates in an R Dataframe | R for Data Analytics Series,2025-08-12T12:01:49Z,1752,59,2,488.0
-Z2KjOUcvTA,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-08-07T14:31:54Z,3072,112,19,3944.0
v5jasYkmwZI,Standardizing and Parsing Dates in R  using Lubridate | R for Data Analytics Series,2025-08-05T12:01:44Z,1533,37,5,506.0
kqhJff8ruKw,Traditional applying to jobs is dead.,2025-08-01T12:53:29Z,15599,611,28,58.0
QR8kxf925IQ,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-07-31T14:45:09Z,3396,149,13,4211.0
klKWFqsqFeI,Handling Missing Data in R | R for Data Analytics Series,2025-07-29T12:01:31Z,1822,53,7,790.0
XIWe4vCtHcY,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-07-24T14:06:55Z,3781,141,6,3848.0
PqCp1f0RIaU,Don’t jump into Power BI first,2025-07-23T12:47:30Z,37014,1530,35,48.0
0B-lz9VQkYs,Grouping and Aggregating Data in R | R for Data Analytics Series,2025-07-22T12:00:02Z,1964,42,5,497.0
_YG8b1g-QJA,Getting Buy-in is a very difficult skill to learn,2025-07-18T12:11:49Z,5976,191,5,51.0
UT_hTGge_wc,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-07-17T14:41:40Z,4542,200,14,4969.0
A42T_b0gwF4,Filtering and Ordering Data in R | R for Data Analytics Series,2025-07-15T12:00:18Z,2366,63,6,827.0
8NfozskpBtY,If I got hired today here’s exactly what I would do!,2025-07-11T11:34:46Z,12573,656,10,73.0
lpK71OwmG0s,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-07-10T14:21:00Z,5258,238,19,4578.0
QC1Jased-PA,Reading and Writing Files in R | R for Data Analytics Series,2025-07-08T12:00:56Z,2021,65,6,620.0
O5nQKzBb0oc,Operators in R | R for Data Analytics Series,2025-07-01T12:00:58Z,3608,90,8,708.0
73S2SJSTgQU,"Basics of R | Environment, Variables, Data Types | R for Data Analytics Series",2025-06-24T12:00:13Z,5686,110,9,689.0
TsnGd6p9oTk,Installing R and R Studio | R for Data Analytics Series,2025-06-17T12:00:48Z,7241,188,13,359.0
DsI1vG-kXR8,Best Resources to Learn Data Analytics in 2025,2025-06-10T12:00:19Z,22965,948,42,407.0
4lhPHhPkVLM,Best Resources to Learn Data Visualization in 2025,2025-06-03T12:00:19Z,12400,359,30,268.0
dkU5n0G7FRQ,Best Resources to Learn Excel in 2025,2025-05-27T12:01:27Z,14820,688,16,289.0
kagUDLvrcZ8,Best Resources to Learn Python in 2025,2025-05-20T12:01:32Z,21761,794,54,309.0
P5uJYPjUtlc,Best Resources to Learn SQL in 2025,2025-05-13T12:00:49Z,26401,937,35,371.0
dStNNjOKML4,How to Practice for General Technical Interviews | Analyst Builder,2025-05-06T12:01:11Z,4839,179,18,621.0
OQM9x6E3ojo,How to Lie with Data | Biased Data Collection,2025-04-29T12:00:46Z,3357,101,12,262.0
z39SB95JbDo,How to Lie with Data | Correlations,2025-04-22T12:01:50Z,3418,127,16,213.0
W5CQb7klLCs,How to Lie with Data | Cherry Picking Data,2025-04-15T12:00:53Z,3812,158,8,252.0
xb5-UX-jYw0,How to Lie with Data | Averages,2025-04-08T12:01:32Z,4305,221,15,407.0
V3ouFOBQP0k,How to Lie with Data | Percentages and Baseline Numbers,2025-04-01T12:00:46Z,4547,222,11,318.0
